Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2009-09-29,106.51000213623048,107.0199966430664,105.77999877929688,106.0,81.38677978515625,133733900,106.26800003051758,105.69348162703292,0.26484939090413373,57.54731637100671,1.3381966482360355,109.21700920704228,100.04699073192256,104.63199996948242
2009-09-30,106.36000061035156,106.45999908447266,104.62000274658205,105.58999633789062,81.07197570800781,254383000,106.09499969482422,105.67466611991614,-1.6120046234187861,54.38761036113073,1.2416302900445544,109.02300573498471,100.77999414294499,104.90149993896485
2009-10-01,103.0,105.7300033569336,102.9499969482422,102.97000122070312,79.06031799316406,281840600,105.67599945068359,105.18290886551377,-3.9100432047556843,39.132144214965045,0.9428207944773561,108.59020284772026,101.52779718279731,105.05900001525879
2009-10-02,102.0199966430664,103.0999984741211,101.98999786376952,102.48999786376952,78.6917953491211,224748800,105.25299911499023,104.69328868337846,-3.9636462786256126,37.01843683283926,0.659675528229414,108.29227957992332,102.00972008438332,105.15099983215332
2009-10-05,102.9000015258789,104.31999969482422,102.5999984741211,104.0199966430664,79.86650085449219,149875000,105.00999908447265,104.57087194877627,-2.2827622121561006,47.132082277985894,0.5523715837542369,108.10805507114384,102.38994450161007,105.24899978637696
2009-10-06,104.7699966430664,106.11000061035156,104.70999908447266,105.51000213623048,81.01052856445312,202491100,104.85399932861328,104.74162289194976,-1.4569884776689193,54.95847522222134,0.5808675459847308,108.03371490445149,102.72128463778485,105.37749977111817
2009-10-07,105.2699966430664,105.91000366210938,105.06999969482422,105.8000030517578,81.23320007324219,159200300,104.81599960327148,104.93405564827849,-0.35788025270843765,56.35569902509633,0.6197078453129592,108.0315845446212,102.93041496709755,105.48099975585937
2009-10-08,106.5500030517578,107.16999816894533,105.8499984741211,106.61000061035156,81.85513305664062,183305800,104.97599945068359,105.23877291410994,1.523662928837375,60.18839531230314,0.7076912714515373,108.14722623203632,102.99677324916486,105.57199974060059
2009-10-09,106.63999938964844,107.26000213623048,106.36000061035156,107.26000213623048,82.35419464111328,135008300,105.25699996948242,105.60626913631367,2.690287477347381,63.0793072467498,0.8204112709584024,108.34433287109998,103.0486671594176,105.69650001525879
2009-10-12,107.76000213623048,108.08999633789062,107.27999877929688,107.68000030517578,82.6766586303711,118031000,105.39300003051758,105.98331116701587,1.2791578388405214,64.9087328037731,0.9328793721294062,108.59239252162608,103.0406076614794,105.81650009155274
2009-10-13,107.38999938964844,107.70999908447266,106.76000213623048,107.45999908447266,82.50774383544922,157692700,105.53899993896485,106.25179987928072,1.3773576268609966,63.089300924760195,0.9928143469266075,108.76944803716819,103.03755193231424,105.90349998474122
2009-10-14,108.72000122070312,109.41999816894533,107.41999816894533,109.30999755859376,83.92817687988281,191421600,105.91100006103515,106.80783582097399,3.5230621741846093,70.74991483033816,1.1760360505075624,109.18004381571704,102.82595594014232,106.00299987792968
2009-10-15,108.77999877929688,109.70999908447266,108.7300033569336,109.70999908447266,84.23531341552734,173873600,106.5849998474121,107.33550186888283,6.545593652391244,72.13908194894339,1.3380926516680915,109.66733728855458,102.59366200954112,106.13049964904785
2009-10-16,108.8000030517578,109.2699966430664,108.2300033569336,108.88999938964844,83.60570526123047,192069400,107.225,107.6181377817493,6.2445132786380295,65.09704692149293,1.3843980740538342,109.96936105616751,102.50863805882273,106.23899955749512
2009-10-19,109.06999969482422,110.12999725341795,108.7300033569336,109.79000091552734,84.29671478271484,159530400,107.8020004272461,108.01302198789075,5.547014476706912,68.81008044254996,1.4766956284255457,110.44543768642984,102.3665618252889,106.40599975585937
2009-10-20,109.9499969482422,109.98999786376952,108.68000030517578,109.20999908447266,83.85140228271484,180921100,108.17200012207032,108.23065418726928,3.5067736454643215,63.93951228327462,1.4859121346050017,110.72673513282032,102.29926431786328,106.5129997253418
2009-10-21,109.04000091552734,110.30999755859376,108.1500015258789,108.2300033569336,83.09896850585938,225379300,108.4150001525879,108.23053585448096,2.296786611610048,56.43948397910294,1.398023275031889,110.89112656071313,102.33987319514625,106.6154998779297
2009-10-22,108.19000244140624,109.68000030517578,107.5,109.33000183105467,83.94355010986328,238444000,108.6870002746582,108.43043875931255,2.5513565379709844,61.99874330163039,1.4009817587716356,111.1964212970017,102.46657842834009,106.8314998626709
2009-10-23,109.69000244140624,109.76000213623048,107.62999725341795,108.08000183105467,82.98380279541016,240033200,108.76900024414063,108.36672295417475,0.7644971830064967,53.394786992058975,1.2876189553338833,111.26719920653795,102.75880100708508,107.01300010681152
2009-10-26,108.1999969482422,109.30999755859376,106.61000061035156,106.91000366210938,82.08548736572266,242028200,108.69200057983399,108.10186490107195,-0.7150786040900441,46.660422257966104,1.0907950365384806,111.285235351419,102.79976525893255,107.04250030517578
2009-10-27,107.02999877929688,107.38999938964844,106.16000366210938,106.41999816894533,81.70922088623047,253266300,108.58800048828125,107.7960709497762,-0.9678028330428338,44.07369581372131,0.8850687925969396,111.2895121744042,102.8374882528419,107.06350021362304
2009-10-28,106.1500015258789,106.4800033569336,104.3499984741211,104.41000366210938,80.16596984863281,248821400,108.0980010986328,107.1804223520186,-4.482658499610551,35.18381106699093,0.5534595662558388,111.34261299434512,102.66638816532286,107.00450057983399
2009-10-29,105.19000244140624,106.86000061035156,104.94000244140624,106.6500015258789,81.88583374023438,198110600,107.79200134277343,107.08398220181138,-2.789169249958397,48.13718661581767,0.46603382459407783,111.11959359813407,103.25740759205148,107.18850059509278
2009-10-30,106.3000030517578,106.62000274658205,103.44000244140624,103.55999755859376,79.5133056640625,325608100,107.25900115966797,106.44325772122636,-4.894849720755317,36.84959859433606,0.14573090339938233,110.93795302528252,103.54604813438544,107.24200057983398
2009-11-02,104.12999725341795,105.41000366210938,103.08000183105467,104.31999969482422,80.09685516357422,254222900,106.71200103759766,106.05721080733505,-4.9822398898709865,40.652673436980066,-0.046252478730778535,110.90261733615256,103.61138412869118,107.25700073242187
2009-11-03,103.73999786376952,104.8000030517578,103.54000091552734,104.6500015258789,80.3502426147461,228362600,106.25600128173828,105.80135457434301,-4.175439608846297,42.328312376206206,-0.16981478329299193,110.95993350488715,103.46806789892145,107.2140007019043
2009-11-04,105.51000213623048,106.33000183105467,104.6500015258789,104.91999816894533,80.55753326416016,247996700,105.92500076293945,105.64110795517979,-3.058306463386261,43.77154047284404,-0.2431494517134496,111.00104210878311,103.33895880674424,107.17000045776368
2009-11-05,105.66000366210938,106.87999725341795,105.44000244140624,106.8499984741211,82.03939819335938,180015300,105.6770004272461,105.86090623135094,-2.268364872769211,53.09447832393574,-0.1438743162828331,111.00744992324903,103.35655077865528,107.18200035095215
2009-11-06,106.26000213623048,107.4000015258789,106.0500030517578,107.12999725341795,82.25438690185547,170954100,105.58199996948242,106.09165005354494,-0.8789827549426943,54.31549550045106,-0.04211897346553428,111.0008392324604,103.35016098116266,107.17550010681153
2009-11-09,107.9499969482422,109.62999725341795,107.87000274658205,109.56999969482422,84.12782287597656,159495700,105.8479995727539,106.72407726105025,2.4880702849115974,63.51228224561692,0.23272793117260449,111.23147959973717,103.30852055285071,107.27000007629394
