,v,vw,o,c,h,l,t,n
265,62632312.0,277.6932,272.23,281.22,281.698,272.06,1666929600000,438632
266,47415170.0,278.1629,278.92,277.95,279.76,275.99,1667188800000,378169
267,45895897.0,276.9402,281.495,275.11,282.07,274.74,1667275200000,345399
268,79793542.0,271.911,275.08,265.68,278.21,265.61,1667361600000,542935
269,70008903.0,262.3821,263.01,260.49,264.5,260.1,1667448000000,474144
270,78087113.0,262.7088,265.53,264.68,266.61,259.08,1667534400000,599394
271,47033828.0,265.7845,265.75,267.59,268.14,263.57,1667797200000,324063
272,63159235.0,269.3961,269.14,269.54,272.85,265.52,1667883600000,394135
273,64852563.0,265.9254,267.76,263.32,268.56,263.03,1667970000000,443956
274,99256693.0,277.4949,276.01,282.75,283.05,273.85,1668056400000,700408
275,66880251.0,285.7282,282.56,287.96,288.64,281.19,1668142800000,446119
276,55078548.0,286.7582,285.86,285.44,289.215,284.44,1668402000000,374846
277,73924572.0,290.3482,292.21,289.39,293.26,285.97,1668488400000,546404
278,48477184.0,286.262,287.39,285.44,289.4838,284.6,1668574800000,347848
279,54801576.0,283.7447,280.88,284.81,286.3189,280.72,1668661200000,351535
280,53358612.0,284.5924,287.89,284.82,287.99,282.3211,1668747600000,311320
281,39742527.0,282.4054,283.4,281.89,284.58,281.04,1669006800000,273605
282,41743694.0,283.5881,282.64,285.95,286.11,280.46,1669093200000,268298
283,46224417.0,288.0382,285.97,288.82,289.46,285.79,1669179600000,289682
284,15355997.0,287.2009,287.19,286.92,287.91,286.42,1669352400000,137806
285,38721345.0,284.0218,284.9,282.71,286.96,281.76,1669611600000,271652
286,35599078.0,281.0674,282.94,280.57,283.35,279.17,1669698000000,276081
287,74634788.0,286.6062,280.84,293.36,293.47,279.97,1669784400000,489451
288,51494132.0,293.4718,293.69,293.72,295.75,290.88,1669870800000,361652
289,53340172.0,290.6051,288.54,292.55,293.45,288.36,1669957200000,352149
290,41469601.0,288.6788,290.38,287.64,291.68,286.15,1670216400000,270304
291,53929505.0,282.8553,287.48,281.68,287.62,280.255,1670302800000,364093
