,v,vw,o,c,h,l,t,n
224,53648702.0,127.9242,129.45,126.77,130.59,126.74,1661918400000,504228
225,56636145.0,125.8649,126.0,127.82,128.02,123.66,1662004800000,571470
226,57429829.0,128.735,129.5,127.51,131.38,126.39,1662091200000,545279
227,43888587.0,126.2752,127.92,126.11,128.62,124.74,1662436800000,511678
228,47834487.0,128.1536,126.12,129.48,129.82,125.4,1662523200000,411435
229,43957909.0,128.8857,127.72,129.82,130.28,127.1,1662609600000,401127
230,49422259.0,132.4594,130.91,133.27,133.69,130.76,1662696000000,436563
231,53826859.0,135.6926,134.095,136.45,136.49,134.0,1662955200000,505064
232,72685970.0,128.679,131.01,126.82,131.4,126.27,1663041600000,688291
233,45270372.0,127.7555,127.364,128.55,128.84,126.33,1663128000000,487615
234,52761196.0,127.2969,127.38,126.28,130.37,125.495,1663214400000,549345
235,115067804.0,122.754,122.78,123.53,123.87,120.7,1663300800000,789757
236,47279727.0,123.7826,122.16,124.66,124.71,121.8,1663560000000,448967
237,47698432.0,122.7821,123.35,122.19,124.3963,121.14,1663646400000,474180
238,58491687.0,120.996,122.49,118.54,123.76,118.45,1663732800000,570477
239,55229190.0,117.2526,117.08,117.31,118.79,116.26,1663819200000,581894
240,65126665.0,113.9603,116.0,113.78,116.05,112.06,1663905600000,668706
241,62723268.0,115.5794,113.295,115.15,117.34,113.13,1664164800000,637547
242,60049093.0,115.1425,117.195,114.41,118.32,113.05,1664251200000,570325
243,55763750.0,116.742,114.38,118.01,118.7,113.8,1664337600000,519756
244,58469714.0,114.4762,115.6,114.8,116.07,113.06,1664424000000,532322
245,59479586.0,114.4292,114.075,113.0,116.92,112.84,1664510400000,542095
246,50861854.0,115.1191,113.58,115.88,116.91,112.45,1664769600000,483031
247,62812564.0,121.4554,119.89,121.09,123.0,119.79,1664856000000,592081
248,48206285.0,119.8443,118.58,120.95,121.75,117.69,1664942400000,468866
249,42253755.0,120.5259,120.77,120.3,121.53,119.5,1665028800000,401176
250,54550480.0,115.361,118.0,114.56,118.17,113.88,1665115200000,520418
251,42339675.0,114.0944,115.1,113.67,116.25,112.43,1665374400000,479742
252,56432233.0,112.646,112.71,112.21,115.48,110.39,1665460800000,553686
253,45728660.0,112.7516,112.49,112.9,113.83,111.4,1665547200000,433707
254,86621449.0,110.1859,107.88,112.53,113.44,105.345,1665633600000,841708
255,67737344.0,109.2313,114.1,106.9,114.96,106.6,1665720000000,677312
256,62775235.0,112.8903,110.11,113.79,114.19,110.09,1665979200000,592054
257,65107448.0,116.5121,119.06,116.36,119.52,114.79,1666065600000,539445
258,47198122.0,114.8511,114.71,115.07,116.5932,113.22,1666152000000,435997
259,48762204.0,116.1986,113.83,115.25,118.24,113.51,1666238400000,444457
260,55660485.0,117.3135,114.792,119.32,119.59,114.5,1666324800000,488398
261,49515723.0,119.1007,119.98,119.82,120.39,116.57,1666584000000,492367
262,50914609.0,120.1721,119.65,120.6,121.3152,118.95,1666670400000,469716
