date,open,high,low,close,volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2023-06-28,249.7,259.88,248.89,256.24,159770797,270.017,268.2008685863162,-7.794170564951411,37.60345523209199,1.6410456616191595,294.6383409022669,250.96565909773312,272.802
2023-06-27,243.24,250.3899,240.85,250.21,164968214,267.83900000000006,264.9298015706223,-8.007647339975735,33.54870067445489,0.03583205996176275,295.8145872645376,248.37541273546236,272.09499999999997
2023-06-26,250.065,258.37,240.7,241.05,179990552,264.96500000000003,260.58801946687277,-10.65272990103414,28.382984602441567,-1.9529345175187132,298.0904375527643,243.67656244723577,270.8835
2023-06-23,259.29,262.45,252.8,256.6,177460803,263.66400000000004,259.86292501835044,-4.825488668817918,44.50159906070495,-2.248373465487475,298.16755249574044,242.35344750425952,270.2605
2023-06-22,250.77,265.0,248.25,264.61,166875944,262.68199999999996,260.72602956046853,-3.578325984768427,50.83487293124152,-1.8152458781070209,298.1306396452762,242.8493603547238,270.49
2023-06-21,275.13,276.99,257.78,259.46,211797109,260.974,260.49584236765605,-6.176321689448196,47.00304502381655,-1.8660405503518973,298.1872874684663,242.44871253153366,270.318
2023-06-20,261.5,274.75,261.12,274.45,165611217,260.171,263.0329619371731,-2.842679127725867,57.39037369350197,-0.6887880508245985,295.7372150593835,243.21778494061644,269.47749999999996
2023-06-16,258.92,263.6,257.2091,260.54,167915649,258.24300000000005,262.5796961304144,-6.890143663783851,47.74232459022234,-0.8682194195616262,291.93949649406693,243.73550350593302,267.8375
2023-06-15,248.4,258.95,247.29,255.9,160171238,257.656,261.3652059248845,-2.242426557665117,44.94204361125975,-1.3690477635058755,288.38198560185486,243.84501439814522,266.11350000000004
2023-06-14,260.17,261.57,250.5,256.79,170575536,257.58500000000004,260.53335030217823,-0.2757281553397979,45.62179860195528,-1.6748358077527428,286.34585211019817,243.4221478898019,264.884
2023-06-13,253.51,259.68,251.34,258.71,162384343,257.832,260.20183206541856,0.9639400561973035,47.184802070104695,-1.742164494182589,284.6770646366905,243.17193536330953,263.9245
2023-06-12,247.94,250.97,244.59,249.83,150740523,257.794,258.31604441716064,-0.1518724271611828,41.11219726394808,-2.483437231480252,284.0880493323833,241.54495066761672,262.8165
2023-06-09,249.07,252.42,242.02,244.4,200242371,258.129,255.7858545231314,1.3897531632441378,37.806355587423276,-3.469067584274967,284.0000586780513,239.09394132194862,261.54699999999997
2023-06-08,224.22,235.23,223.01,234.86,164489739,255.95499999999998,251.98115370074385,-8.472330475448171,32.67703298684499,-4.962777204449992,284.73942216193257,234.87957783806746,259.8095
2023-06-07,228.0,230.8296,223.2,224.57,185710777,251.95099999999996,246.99730757333583,-15.131703261403581,28.10686559820752,-6.897361354678878,285.64057970261376,228.99242029738625,257.3165
2023-06-06,216.14,221.91,212.53,221.31,146911576,248.13600000000002,242.3268880145475,-14.703615200801657,26.788031962900376,-8.594515758935927,285.4925981614607,223.6174018385393,254.555
2023-06-05,217.8,221.29,214.52,217.61,151143052,242.452,237.83290837553886,-20.710511932956816,25.29147461394882,-10.121408631115258,283.4374908952241,219.185509104776,251.31150000000002
