Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
303,53340172.0,290.6051,288.54,292.55,293.45,288.36,1669957200000,352149,287.131,284.0075658379305,2.7176012078227623,61.41621624358926,3.8306131959608933,300.5064750209241,264.71652497907587,282.6115
304,41469601.0,288.6788,290.38,287.64,291.68,286.15,1670216400000,270304,287.41299999999995,284.33778712539134,0.9900990099009876,53.896671811546085,3.6051251953304586,299.7503704891103,267.7686295108897,283.7595
305,53929505.0,282.8553,287.48,281.68,287.62,280.255,1670302800000,364093,287.392,284.0961701139921,-0.07449714427612883,46.25800404974292,2.911935164120564,298.6871141456258,270.2408858543742,284.464
306,45291254.0,280.4653,280.47,280.53,282.57,278.7801,1670389200000,293190,286.85,283.7719728309019,-1.8954362650813135,44.89388603513306,2.243915223268118,297.64834432035076,272.37865567964917,285.01349999999996
307,42348513.0,283.1223,281.91,283.85,284.84,279.79,1670475600000,282914,286.35299999999995,283.7790662099108,-1.7207949587978568,49.65610741552074,1.959809398118523,293.8868872809225,278.19311271907753,286.04
308,47848487.0,283.7959,282.81,282.04,285.64,281.59,1670562000000,308035,285.86499999999995,283.6209692817371,-1.7008225289279224,47.18597243545561,1.5704978895469708,293.9167549882763,278.0922450117237,286.0045
309,35625918.0,283.0671,282.22,285.58,285.64,281.16,1670821200000,254243,286.152,283.79906298339733,1.0151745605036981,52.33825989972039,1.5299775008992924,293.7479664704851,278.02303352951486,285.8855
310,80364725.0,290.9318,296.65,288.65,296.875,285.91,1670907600000,555897,286.96,284.24005725763396,2.879851730405954,56.43364398430761,1.7256954015211363,293.99610289238467,278.0958971076153,286.046
311,64701532.0,287.7488,288.05,286.51,291.41,283.19,1670994000000,490980,286.275,284.4464156887582,-2.3350149986364954,52.91225574684355,1.6886573418770467,293.7076251511011,278.09637484889885,285.902
312,60525219.0,278.4212,282.33,276.89,283.01,275.67,1671080400000,461414,284.592,283.759468807962,-5.72994688819285,40.33961837024368,0.8729875533595646,294.21505484506,276.73394515494005,285.47450000000003
313,68122651.0,274.6265,276.2,274.25,277.77,272.61,1671166800000,380497,282.762,282.8949716436018,-6.255340967356012,37.614345647014865,0.013383160038301867,294.9660674058066,274.92693259419343,284.9465
314,44137220.0,270.6839,273.87,269.75,273.96,268.49,1671426000000,306291,280.973,281.69997422145616,-6.219580030593793,33.347494684032455,-1.0192229391169008,296.20566847954694,272.18033152045314,284.19300000000004
315,50379074.0,269.5214,268.56,269.54,271.32,266.95,1671512400000,261386,279.75899999999996,280.5945220195056,-4.309855154785567,33.15249475687841,-1.8333818721973216,297.16447711380437,269.9865228861957,283.57550000000003
316,46393994.0,272.776,270.6,273.45,274.78,269.74,1671598800000,262099,279.05100000000004,279.94502001773236,-2.523794246604636,40.366500538853316,-2.1384536075486267,297.1798815395996,268.7211184604005,282.95050000000003
317,59564677.0,266.0191,270.38,266.76,270.5149,262.455,1671685200000,415769,277.342,278.74638183430216,-6.020785626211038,33.49465168161649,-2.8867752964130773,297.4406111392017,266.2543888607984,281.8475
