Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
233,53841524.0,167.3144,167.32,167.53,168.11,166.245,1661313600000,476970,170.936,165.83835080567238,-1.0103994327582178,53.35903204931497,4.511474913585175,176.74116510293777,157.96483489706225,167.353
234,51218209.0,169.3503,168.78,170.03,170.14,168.35,1661400000000,465398,171.09,166.21940982333854,0.9140008309098415,60.03853642639518,4.284348581696435,176.23024474949156,159.74375525050849,167.98700000000002
235,78960980.0,165.9997,170.57,163.62,171.05,163.56,1661486400000,722008,170.24200000000002,165.98309983939868,-4.927367809413126,42.64123267612603,3.5462370842713824,176.15134671208054,159.93365328791944,168.0425
236,73313953.0,161.5291,161.145,161.38,162.9,159.82,1661745600000,640593,169.061,165.56463621763515,-6.8191004099543875,38.32878015705058,2.7488421836190184,176.16596285354487,159.90603714645513,168.036
237,77906197.0,159.2926,162.13,158.91,162.56,157.72,1661832000000,644671,167.649,164.95966928875922,-8.1604346067156,34.103115258089346,1.8957397152034048,176.3390880588816,159.6229119411184,167.981
238,87991091.0,158.3972,160.305,157.22,160.58,157.14,1661918400000,606827,165.916,164.2560629897811,-9.928387281581214,31.46583345733167,1.0709359041632354,177.10306703660962,157.9679329633904,167.5355
239,74229896.0,156.5232,156.64,157.96,158.42,154.67,1662004800000,654667,164.297,163.68369362707372,-9.296583405110535,33.95086620976771,0.4715490333578032,177.56723541560808,156.71876458439192,167.143
240,76807768.0,157.6597,159.75,155.81,160.362,154.965,1662091200000,646414,162.726,162.96790329733975,-9.159281716417915,30.39319676456475,-0.17493981451946183,178.18984380317684,155.14215619682315,166.666
241,73714843.0,155.012,156.47,154.53,157.09,153.69,1662436800000,687436,161.42199999999997,162.20082117939978,-7.7818225219311286,28.422982824196325,-0.781562817106817,178.81948523143515,153.47851476856485,166.149
242,87293824.0,155.306,154.825,155.96,156.67,153.61,1662523200000,696954,160.295,161.63347379945435,-6.739221431561313,33.75366080604252,-1.1338564764888588,179.12483834825255,152.27716165174743,165.701
243,84909447.0,154.3949,154.64,154.46,156.36,152.68,1662609600000,697264,158.988,160.98133981768575,-7.801587775323819,31.05782976626169,-1.516606705617363,179.13175878411533,150.79224121588464,164.962
