,v,vw,o,c,h,l,t,n
114,17353678.0,59.1915,60.52,59.54,60.56,58.15,1646888400000,177442
115,26358386.0,57.3538,60.38,55.58,60.4,55.33,1646974800000,274091
116,28904195.0,53.6362,55.09,52.29,55.98,52.06,1647230400000,322376
117,28910465.0,53.5095,52.67,54.39,54.72,51.85,1647316800000,295701
118,41336402.0,58.3199,55.8,60.04,60.04,55.71,1647403200000,334270
119,24872485.0,61.6357,59.29,62.93,62.94,58.55,1647489600000,257366
120,31000255.0,64.9175,62.28,65.77,65.97,62.24,1647576000000,283659
121,26482812.0,64.0096,65.14,63.98,66.0,62.61,1647835200000,284562
122,23129983.0,66.2791,63.91,66.97,67.58,63.83,1647921600000,231442
123,20568113.0,66.3015,65.94,65.67,68.23,64.72,1648008000000,186412
124,20488120.0,65.15,66.27,66.4,66.45,63.365,1648094400000,223594
125,22184837.0,64.5219,66.24,64.51,66.5,63.46,1648180800000,211991
126,19627551.0,66.132,65.42,67.06,67.37,64.52,1648440000000,190447
127,30754486.0,70.3336,68.528,71.39,72.005,67.935,1648526400000,247357
128,27038224.0,69.8777,70.48,68.68,71.9,68.15,1648612800000,222807
129,17396339.0,67.2065,68.39,66.29,68.65,66.27,1648699200000,178943
130,15783320.0,67.2385,66.7653,67.54,68.615,66.31,1648785600000,141478
131,15964813.0,69.973,68.22,70.5,70.84,67.99,1649044800000,140392
132,20621374.0,67.6097,70.17,66.48,70.68,66.21,1649131200000,168448
133,35519954.0,63.0617,64.85,63.4,65.17,61.9199,1649217600000,288000
134,24830526.0,62.5032,63.16,62.66,64.77,60.61,1649304000000,186095
135,20603631.0,61.2977,62.2,60.65,62.58,60.42,1649390400000,155428
136,20493142.0,59.6588,59.31,59.84,60.82,58.16,1649649600000,152571
137,25354333.0,61.0641,61.438,59.84,63.25,59.36,1649736000000,185178
138,20889915.0,61.232,59.58,61.73,62.12,59.02,1649822400000,140401
139,21319347.0,59.5947,61.53,58.99,61.58,58.9,1649908800000,138596
140,16157357.0,57.3796,58.57,57.35,58.895,56.3199,1650254400000,115582
141,18305921.0,59.3573,57.21,59.67,60.42,56.86,1650340800000,136990
142,22753093.0,57.0528,59.27,56.13,59.43,56.13,1650427200000,169485
143,26813974.0,55.0112,57.76,53.34,58.73,52.91,1650513600000,218863
144,21931025.0,53.2282,53.53,52.46,54.97,52.12,1650600000000,175192
145,25961290.0,53.5693,52.04,54.35,54.62,51.95,1650859200000,181521
146,23849491.0,51.5281,53.82,50.68,54.19,50.51,1650945600000,186218
147,25873671.0,50.2029,50.61,49.56,51.84,49.46,1651032000000,171338
148,38939122.0,47.8503,48.6801,48.87,49.61,45.89,1651118400000,274807
149,24789641.0,48.939,48.63,47.13,51.2682,47.09,1651204800000,168274
150,33583965.0,48.6145,47.0,50.13,50.13,46.35,1651464000000,237782
151,21910716.0,50.0639,49.68,49.87,51.4199,49.14,1651550400000,158942
152,50859800.0,50.1114,49.74,52.43,52.71,47.46,1651636800000,333331
153,37096809.0,48.4447,51.23,47.75,51.23,46.95,1651723200000,279082
154,44973077.0,45.7098,47.64,45.63,47.64,43.99,1651809600000,301871
155,43539567.0,42.2907,44.12,41.13,44.975,40.755,1652068800000,296325
156,59822477.0,41.015,42.65,41.08,44.11,38.72,1652155200000,363772
157,71471910.0,38.6742,39.26,36.93,41.0,36.63,1652241600000,490016
158,79683492.0,38.1404,35.92,38.99,40.54,35.1,1652328000000,493868
159,61854247.0,42.9096,41.01,43.6,44.11,40.8611,1652414400000,389385
160,45703179.0,42.2276,43.21,41.02,43.92,40.925,1652673600000,319053
161,35939679.0,42.2722,42.52,43.08,43.38,40.67,1652760000000,224156
162,35805555.0,42.1128,42.06,41.17,43.74,40.96,1652846400000,223538
163,47656980.0,42.8051,41.21,43.03,44.15,40.72,1652932800000,326863
164,39531215.0,42.1162,43.85,42.41,44.45,39.98,1653019200000,263986
165,33045445.0,41.8532,42.54,42.14,42.86,40.757,1653278400000,205350
166,37753985.0,39.5118,41.1,39.21,41.2825,38.62,1653364800000,246779
167,31671497.0,40.4329,39.09,41.03,41.44,39.06,1653451200000,210100
168,26800273.0,42.227,40.7,42.63,43.0,40.44,1653537600000,179275
169,30032525.0,44.6019,43.25,45.41,45.44,43.16,1653624000000,188462
170,31455171.0,44.4951,45.59,44.09,46.05,43.22,1653969600000,201141
171,33850689.0,43.1182,44.18,42.5,44.99,41.78,1654056000000,189018
172,32364020.0,44.7362,42.68,45.63,46.08,42.21,1654142400000,215041
173,29389356.0,43.5312,44.09,43.16,44.82,42.82,1654228800000,190306
174,26421705.0,43.5861,44.44,43.49,44.85,42.69,1654488000000,157261
175,22570609.0,43.8545,42.525,44.78,44.8398,42.1,1654574400000,145650
176,29089039.0,46.1105,44.87,45.99,46.94,44.76,1654660800000,180767
177,26094608.0,44.3634,45.65,43.2,46.02,43.19,1654747200000,163665
178,35727280.0,40.6944,41.61,40.11,42.34,39.82,1654833600000,219035
179,37771386.0,36.9436,37.76,36.58,38.39,36.27,1655092800000,241659
180,29587180.0,36.7645,37.1,36.99,37.52,35.65,1655179200000,169019
181,42976654.0,38.7925,37.43,39.42,40.08,37.192,1655265600000,279991
182,32535986.0,37.0929,37.6186,36.98,38.03,36.46,1655352000000,190374
183,33022274.0,38.5004,37.1601,38.8,39.25,37.1601,1655438400000,197619
184,31188110.0,40.9593,39.93,40.5,41.93,39.81,1655784000000,178414
185,29914648.0,41.1634,39.62,41.11,42.075,39.35,1655870400000,162340
186,33227427.0,42.766,41.63,44.03,44.24,40.79,1655956800000,185131
187,35391267.0,45.1483,44.77,45.83,45.99,43.96,1656043200000,200971
188,27260898.0,44.6958,45.825,44.8,46.27,43.58,1656302400000,164459
189,32096078.0,43.3048,44.73,42.17,45.37,42.04,1656388800000,180772
190,19850399.0,41.4697,41.89,41.51,42.24,40.7,1656475200000,122026
191,28027406.0,40.0323,40.75,39.88,41.03,39.11,1656561600000,166508
192,24141834.0,40.9105,40.37,41.22,41.81,40.02,1656648000000,152156
193,35158834.0,43.0544,40.57,44.97,44.975,39.84,1656993600000,214854
194,32722575.0,44.5192,44.78,43.96,45.96,43.56,1657080000000,187415
195,24738345.0,46.0311,44.09,46.83,46.9,43.81,1657166400000,144294
196,31978072.0,46.808,45.7,46.86,48.12,45.35,1657252800000,179728
197,27702208.0,44.3416,46.18,43.62,46.49,43.51,1657512000000,157270
198,27942066.0,44.0075,44.36,44.32,45.285,42.64,1657598400000,148800
199,27190343.0,43.9942,42.44,44.01,45.155,42.315,1657684800000,154195
200,20181468.0,43.0649,43.61,43.1,43.91,42.27,1657771200000,124697
201,24023437.0,43.4448,43.64,44.11,44.1881,42.2,1657857600000,135764
202,20960594.0,44.9906,45.25,43.97,46.175,43.68,1658116800000,129348
203,22726085.0,44.9481,44.86,45.8,45.845,43.44,1658203200000,120485
204,33357576.0,47.8743,46.14,48.12,49.02,46.01,1658289600000,194047
205,24568023.0,48.5336,47.69,48.96,49.25,47.39,1658376000000,167344
206,26648954.0,47.0318,49.0,46.25,49.34,45.7418,1658462400000,159492
207,15385606.0,45.582,45.94,45.65,46.2,44.68,1658721600000,94582
208,19099251.0,43.7997,44.77,43.47,44.78,43.411,1658808000000,116142
209,24411205.0,45.4615,44.5101,46.38,46.65,43.94,1658894400000,156444
210,23255196.0,45.5457,45.945,46.18,46.9,44.13,1658980800000,150117
211,18632604.0,44.6958,44.81,45.13,45.31,44.0201,1659067200000,127122
212,17273774.0,45.6223,44.49,45.69,46.63,44.015,1659326400000,110791
213,22795968.0,46.7706,45.0,46.91,47.7,44.88,1659412800000,130976
214,25538983.0,49.1955,47.98,49.76,50.04,47.32,1659499200000,150905
215,21185206.0,49.9269,50.0699,50.17,51.15,49.0,1659585600000,143871
216,24414762.0,49.5082,48.68,50.07,50.78,47.96,1659672000000,166608
217,23057688.0,51.2628,50.47,50.8,52.425,50.27,1659931200000,143898
218,23306823.0,48.3963,49.86,48.03,50.0143,47.38,1660017600000,141277
219,29012001.0,50.4412,50.35,51.57,51.65,49.05,1660104000000,169644
220,35137308.0,51.4787,52.24,49.92,53.86,49.69,1660190400000,202569
221,20859748.0,51.2498,50.73,52.01,52.07,49.91,1660276800000,118266
222,14842446.0,51.8744,51.55,52.19,52.67,51.15,1660536000000,90444
223,23330345.0,50.6517,51.98,50.74,52.12,49.325,1660622400000,131216
224,26056258.0,48.6056,49.5,48.03,50.04,47.88,1660708800000,157329
225,20655139.0,47.3442,48.1067,47.5,48.15,46.8,1660795200000,118118
226,26784384.0,45.0863,46.24,44.69,46.41,44.49,1660881600000,151711
227,23561064.0,43.779,43.96,43.61,44.79,43.28,1661140800000,137459
228,20689802.0,43.5581,43.5001,43.37,44.6,42.73,1661227200000,110428
229,17333096.0,44.4401,43.58,44.5,45.15,43.14,1661313600000,88083
230,14679748.0,45.1472,45.04,45.78,45.78,44.38,1661400000000,77793
231,30049901.0,43.732,45.65,42.84,45.73,42.79,1661486400000,166876
232,21171970.0,42.5574,41.9,42.13,43.4,41.86,1661745600000,125095
233,20542132.0,41.9857,42.8,41.91,43.2448,41.1801,1661832000000,111467
234,21133768.0,42.2144,42.79,41.88,43.27,41.49,1661918400000,116231
235,31291574.0,40.6722,41.16,41.72,41.77,39.79,1662004800000,170786
236,25414774.0,41.1951,42.45,40.59,42.59,40.38,1662091200000,145121
237,18361913.0,40.1698,40.7399,40.09,40.85,39.49,1662436800000,119490
238,19716688.0,40.812,39.76,41.47,41.55,39.71,1662523200000,111967
239,21837280.0,42.019,40.75,42.7,42.73,40.51,1662609600000,135212
240,18687173.0,44.2483,43.43,44.6,44.81,43.41,1662696000000,101345
241,17822961.0,45.2088,44.92,45.68,45.68,44.41,1662955200000,98753
242,30460051.0,42.8671,43.032,42.58,43.5772,42.41,1663041600000,165029
243,24922045.0,43.0519,42.71,43.75,43.79,41.86,1663128000000,133229
244,23100571.0,44.6755,43.22,44.71,45.52,43.13,1663214400000,136073
245,29729293.0,42.6292,43.53,42.58,43.56,42.1,1663300800000,159221
246,18806658.0,41.9667,42.01,42.49,42.54,41.19,1663560000000,98858
247,16091266.0,41.8264,41.9,41.44,42.575,41.345,1663646400000,83867
248,26726808.0,41.4148,41.62,40.34,42.78,40.34,1663732800000,152888
249,25651742.0,39.026,40.06,38.61,40.29,38.45,1663819200000,151778
250,29165904.0,37.6628,37.9713,37.83,38.66,37.09,1663905600000,168776
251,22623294.0,37.9907,37.78,37.43,39.15,37.33,1664164800000,119861
252,24813570.0,38.2593,38.62,38.21,39.25,37.475,1664251200000,120569
253,26898133.0,39.3777,38.44,39.99,40.26,38.2099,1664337600000,147892
254,21488620.0,37.9296,39.1,37.8,39.29,37.36,1664424000000,119562
255,23654086.0,38.436,37.71,37.73,39.45,37.51,1664510400000,134428
256,26619773.0,37.673,38.0,37.9,38.39,36.82,1664769600000,138031
257,31321448.0,40.3341,39.3061,40.79,40.9,39.25,1664856000000,169081
258,20932494.0,39.4986,39.74,40.04,40.2899,38.66,1664942400000,114638
259,19942271.0,40.1149,39.9,40.17,40.969,39.36,1665028800000,113663
260,25352593.0,38.0662,39.07,37.53,39.19,37.32,1665115200000,143963
261,21146201.0,36.4361,37.6,36.3,37.6,35.8432,1665374400000,121044
262,29745362.0,35.7068,36.04,35.65,36.8511,34.625,1665460800000,151293
263,20427286.0,35.6864,35.69,36.12,36.26,34.81,1665547200000,114766
264,31092793.0,35.2823,34.17,36.04,36.48,33.74,1665633600000,187110
265,26041183.0,34.9876,36.79,33.99,37.26,33.93,1665720000000,140029
266,24159169.0,36.1677,35.42,36.38,36.69,35.28,1665979200000,128572
